2026-05-18 02:09:57.802 | 2026-05-18 02:09:57 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 40ms
2026-05-18 02:09:59.946 | 2026-05-18 02:09:59 | unknown | 科目管理 | 查询科目辅助核算 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 5ms
2026-05-18 02:09:59.965 | 2026-05-18 02:09:59 | unknown | 辅助核算 | 查询辅助核算选项 | 失败 | 错误: 非法的辅助核算表名: v_sys_vendor_dict | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:09:59.965 | 2026-05-18 02:09:59 | unknown | 辅助核算 | 查询辅助核算选项 | 失败 | 错误: 非法的辅助核算表名: v_budg_project_dict | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
2026-05-18 02:09:59.966 | 2026-05-18 02:09:59 | unknown | 辅助核算 | 查询辅助核算选项 | 失败 | 错误: PreparedStatementCallback; SQL [SELECT dept_id AS id, dept_code AS code, dept_name AS name FROM sys_dept WHERE 1=1 AND is_stop = '0']; 索引 1 超出范围。 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:13:04.144 | 2026-05-18 02:13:04 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:13:04.152 | 2026-05-18 02:13:04 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 9ms
2026-05-18 02:13:04.152 | 2026-05-18 02:13:04 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 9ms
2026-05-18 02:13:04.154 | 2026-05-18 02:13:04 | vh | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 5ms
2026-05-18 02:13:04.162 | 2026-05-18 02:13:04 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 4ms
2026-05-18 02:13:04.233 | 2026-05-18 02:13:04 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 83ms
2026-05-18 02:13:04.651 | 2026-05-18 02:13:04 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 2ms
2026-05-18 02:13:04.654 | 2026-05-18 02:13:04 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 5ms
2026-05-18 02:13:04.655 | 2026-05-18 02:13:04 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 3ms
2026-05-18 02:13:04.658 | 2026-05-18 02:13:04 | vh | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 4ms
2026-05-18 02:13:04.662 | 2026-05-18 02:13:04 | unknown | 凭证管理 | 查询凭证字 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 1ms
2026-05-18 02:13:04.727 | 2026-05-18 02:13:04 | unknown | 科目管理 | 加载科目列表 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 73ms
2026-05-18 02:13:04.947 | 2026-05-18 02:13:04 | unknown | 凭证管理 | 加载凭证 | 成功 | IP: 0:0:0:0:0:0:0:1 | 耗时: 0ms
